"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"TestSuite 1","TestCase 1","Books 1 - Request 1","restrequest","UNKNOWN","","19-Mar-2021 18_39",
"TestSuite 1","TestCase 1","JDBC Request","jdbc","OK","","19-Mar-2021 18_39",
"TestSuite 1","TestCase 1","JDBC Request","jdbc","OK","","19-Mar-2021 18_39",
"TestSuite 1","TestCase 1","JDBC Request","jdbc","OK","","19-Mar-2021 18_39",
"TestSuite 1","TestCase 1","JDBC Request","jdbc","OK","","19-Mar-2021 18_39",
"TestSuite 1","TestCase 1","JDBC Request","jdbc","OK","","19-Mar-2021 18_39",
"TestSuite 1","TestCase 1","JDBC Request","jdbc","OK","","19-Mar-2021 18_39",
"TestSuite 1","TestCase 1","JDBC Request","jdbc","OK","","19-Mar-2021 18_39",
"TestSuite 1","TestCase 1","JDBC Request","jdbc","OK","","19-Mar-2021 18_39",
"TestSuite 1","TestCase 1","Groovy Script","groovy","OK","","19-Mar-2021 18_39",
"TestSuite 1","TestCase 1","Properties","properties","OK","","19-Mar-2021 18_39",
"TestSuite 1","TestCase 1","JDBC Request","jdbc","OK","","19-Mar-2021 18_39",
